Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth(deg),Elevation(deg),Rate of AZ(rads/s),Rate of EL(rads/s),Mean Anom @time,Mean Anom Motion @time,Eccentric Anomaly,Topocentric Range,Topocentric Reletive Velocity,Time,Time Since Epoch(s),Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost,Minimum Power Required(dBm),Signal Loss(dB),DopplerShift(Hertz),Minimul Received Power (dBm)
"[-24139.661981651127, -11527.136687068823, 0]","[1.6694027827227162, -3.4650141527744642, 0]","[-13489.603325586457, -6610.06352770446, -22134.49396459695]","[1.5551674746797508, -3.5157777093933555, 0.1182791347647636]","[6694.196716585548, -13448.050715312507, -22134.49396459695]",[[2.52534741 1.08894969 0.11827913]],171.69164397228442,-25.46925059732062,-0.00010485287247947986,-1.1186208189377514e-05,205.52745881735314,2.0057524431862155,205.7235000464,[  3770.44555984 -25819.10364801 -12428.51676384],"[2.6958771678194577, 0.47292725977396244, -0.29286006681075916]",2021-01-12 10:30:00,75510.168193,"GPS BIIRM-3 (PRN 12)    
",0,0,0,-16.366847686216033,-185.60817817273062,-289.8052994802912,-91.38166973149309
"[25714.044909836455, -5149.747951850709, 0]","[0.760770311100684, 3.848839867313133, 0]","[-21435.075900754393, -4460.853854629197, 14435.03770723217]","[2.054545247005297, -2.446885722875202, 2.2768253946380357]","[4594.659978232283, -21406.793213087578, 14435.03770723217]",[[0.87299622 1.73474159 2.27682539]],179.2794547129291,73.32771437435471,-0.0002193533417815578,6.627963718176921e-05,348.6723845661909,2.0054816481958557,348.81982921873526,[   71.44371009 -5680.70784233 18969.61507625],"[1.2126594958439856, 2.6732167086031424, 0.582025797032637]",2021-01-12 10:30:00,177383.502721,"GPS BIIRM-4 (PRN 15)    
",1,1,0,-21.293250519702326,-182.32390961707307,1076.9625287197223,-93.02380400932184
"[19588.521766180093, 17900.64921213097, 0]","[-2.6132957669624273, 2.8646208457355966, 0]","[-26066.442010059673, 4599.793661315644, 1877.7450331163964]","[-0.601700602992242, -2.076627486541004, -3.2188417205491526]","[-4436.881169607706, -26094.66585870116, 1877.7450331163964]",[[ 0.17749221 -0.2651748  -3.21884172]],210.74273132970174,31.86088407037821,-7.115288640204409e-05,-0.00013491960713275743,42.422185634926905,2.005608185354634,42.373106937898115,[ -9733.94043584 -16366.00758276  11834.54002704],"[0.11885824181096495, -2.4506522390361973, -2.107828148188297]",2021-01-12 10:30:00,88120.321632,"GPS BIIRM-5 (PRN 29)    
",1,1,0,-19.67555301432276,-183.40237462065946,-3282.630926058982,-92.48457150752866
"[-12326.95636740205, -23720.821016833084, 0]","[3.4378832847170275, -1.7304866309541418, 0]","[16592.96385364439, -3334.9539633196437, 20692.579240168525]","[1.8355723820715393, 3.2267238058497356, -1.0161461362356126]","[3231.2417649367526, 16613.471763672365, 20692.579240168525]",[[-2.02665307  1.57975511 -1.01614614]],14.44002065451647,-5.593437727535261,-6.73074413014344e-05,-7.78956029939805e-05,242.54785483653131,2.0057039754621573,243.27881850109918,[ 6594.90150101 25611.16517134 -2590.05713625],"[-1.6564219405072267, 0.705632685109746, -2.096151398993317]",2021-01-12 10:30:00,99232.517665,"GPS BIIRM-6 (PRN 07)    
",0,0,0,-17.461269302269102,-184.87856376202856,-2487.1873119163483,-91.7464769368441
"[3123.8786944885437, 26358.061239347255, 0]","[-3.8469788575897055, 0.47852930521508663, 0]","[-5567.019679772626, -20534.82470080789, 15869.318724733403]","[2.2716014782899974, -2.299100917140768, -2.1406069988031446]","[20569.19819718305, -5438.641294743303, 15869.318724733403]",[[ 1.88827459  0.78598863 -2.140607  ]],77.61194878065679,30.444695704584255,8.3211411390029e-05,-0.00011281107907374404,83.24134413792854,2.0054876736683647,82.90922667687913,[19001.17271489  4173.52479336 11434.07475059],"[2.0099462538276454, -1.215918075467866, -1.8020035179085963]",2021-01-12 10:30:00,274169.847168,"GPS BIIRM-8 (PRN 05)    
",1,1,0,-19.59122809018828,-183.4585912367491,-2913.8134643020244,-92.45646319948382
"[-26633.904574514607, -3067.285451977639, 0]","[0.4432296284059311, -3.812024332397557, 0]","[-16842.197564211718, 8838.916207405187, -18894.10104807303]","[-0.013587924547378338, -3.4830127441781356, -1.6113409342802294]","[-8733.539804597942, -16897.080842410993, -18894.10104807303]",[[ 2.25087496  0.64502865 -1.61134093]],206.92545686771882,-20.55929843669566,-9.539139865024901e-05,-4.6773591874467725e-05,186.57037209041619,2.005623199756446,186.63179043964524,[-12037.02705983 -23700.1723135   -9969.86904275],"[2.3355873175702433, -1.0009625795310542, -1.2735876355759783]",2021-01-12 10:30:00,93086.62128,"GPS BIIF-1  (PRN 25)    
",0,0,0,-16.599649703109662,-185.45297682813487,-1537.5985400241655,-91.45927040379097
"[5055.0179443639345, -26020.508028044398, 0]","[3.8030145864671594, 0.7777938489266203, 0]","[20596.05417421418, 11603.197585341979, -11991.180204788549]","[-0.01652014034472682, 2.761294133158264, 2.7281614709285074]","[-11731.623458951266, 20523.17355500936, -11991.180204788549]",[[-1.26456349  0.82171546  2.72816147]],317.36774348549585,-70.92036650224976,9.526222374247258e-05,6.267835514429432e-05,280.9923154750636,2.0056151718136745,281.55931918708006,[ -7236.94624581   7861.23269284 -30892.37365237],"[-1.0674444134683485, 2.6624134216641346, 1.2203767118002231]",2021-01-12 10:30:00,211473.981792,"GPS BIIF-2  (PRN 01)    
",0,0,0,-14.762880334568592,-186.67748974049556,1454.1362369641654,-90.84701394761059
"[13173.778150033071, -22897.04915928173, 0]","[3.3580543147255053, 1.9733593702334804, 0]","[-21378.655963298686, -13748.204567906187, -7194.666865864597]","[0.6258322468877724, -2.4532902288433127, 2.959793411127234]","[13881.477077743491, -21292.361395067597, -7194.666865864597]",[[ 0.89666948 -0.37110899  2.95979341]],157.36323582942165,11.096561990885771,-5.781648952695917e-05,0.0001127361773900593,299.9096508818968,2.005694680883626,300.4420313869699,[  9181.4246162  -22017.12571567   4678.64291344],"[0.8006169626208043, 1.6635029367018888, 2.508761754597062]",2021-01-12 10:30:00,126762.414049,"GPS BIIF-3  (PRN 24)    
",1,1,0,-18.62139225771554,-184.1051484583976,3790.97786581354,-92.13318458865957
"[18010.155599686528, 19304.390743956534, 0]","[-2.8326974048637825, 2.6765799559278665, 0]","[8191.223064155019, 13093.09462220045, 21412.611812846062]","[-3.6416009064323447, 1.2071562165876204, 0.6853988291657673]","[-13144.005259153073, 8109.277885237122, 21412.611812846062]",[[-0.59304765 -2.69059422  0.68539883]],333.63309745041346,3.089805085116896,-6.384061510660123e-05,9.018587612867813e-05,46.989763379684064,2.0056331523745508,46.62207870469071,[-11184.34994771  22563.44441684   1359.38480579],"[-1.1362953880565332, -1.3276496032025291, 2.2376223170071095]",2021-01-12 10:30:00,138522.580705,"GPS BIIF-4  (PRN 27)    
",0,0,0,-18.142231642359604,-184.42458886863488,2959.967556482038,-91.97346438354093
"[-13573.83033496795, -22906.46195109843, 0]","[3.3327141666502444, -1.956185149920457, 0]","[8516.86398595159, -13916.824501987025, 21041.38523732006]","[2.765642565360368, 2.631377577344913, 0.6005974554340806]","[13863.352821286757, 8603.628590706723, 21041.38523732006]",[[-2.02121513  1.73822009  0.60059746]],39.455354173459455,10.871300271250334,-0.00010282816213471963,-4.5885231743300485e-05,239.3508921382204,2.005529048012421,239.58828409422608,[15342.13402764 18641.07243886  4636.61355082],"[-1.6183522993246047, 1.9402578576937979, -1.0410438451188817]",2021-01-12 10:30:00,52505.303329,"GPS BIIF-5  (PRN 30)    
",1,1,0,-18.475035019133315,-184.20271995078576,-1392.0906722166858,-92.08439884246552
