Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Mean Anom @time,Mean Anom Motion @time,Eccentric Anomaly,Topocentric Range,Topocentric Reletive Velocity,Time,Time Since Epoch,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[-3392.695023560893, 26372.841519114878, 0]","[-3.842432924097366, -0.45766945291919175, 0]","[-109.46592180176572, 24237.3635183116, 10935.05263857592]","[-2.430951238489637, 1.2620884437649653, -2.7333790334535406]","[17064.52123447659, 17212.317919005425, 10935.052638575919]","[[-0.8259766208133444, 2.611542415062244, -48.42084470737716]]",0.8669195799274885,-0.29329950368465674,-0.0011915044422734222,-0.0010273560356468603,97.32949089503654,2.005623004756446,96.79275946855363,[20253.30635549 17193.78576223 -8023.58855653],"[-8.153038215405328, 34.60221568414327, -32.98931995276508]",2021-01-12 19:30:00,125486.62128,"GPS BIIF-1  (PRN 25)    
",0,0,0
"[-26260.156479595447, -5461.461247842294, 0]","[0.7888402077461341, -3.753973090727316, 0]","[183.21420351990446, -19040.38112172767, -18890.57163215307]","[2.980411908479309, 1.720803100598093, -1.6942739991006377]","[-13336.810870861427, -13590.406781987334, -18890.571632153067]","[[3.3240787502775797, -0.8913579063352339, 77.23194350808696]]",3.7955676855993925,-0.4588673288499553,-0.0016655556838682522,0.002336596834490217,191.75033380115974,2.005614729313675,191.86658990078442,[-15857.54959492 -20688.37414073 -12877.94222503],"[14.481160063886497, -52.47372112981169, 54.89464191054007]",2021-01-12 19:30:00,243873.981792,"GPS BIIF-2  (PRN 01)    
",0,0,0
"[-23052.42710063394, -13673.515664808421, 0]","[1.9764427018320694, -3.2908119028189313, 0]","[-4394.834627639763, 16824.325369639526, -20396.247947061383]","[-3.0950803993347606, -2.043187460805291, -0.9907729583622131]","[8792.046197853315, 15002.413779209355, -20396.24794706138]","[[-3.633151823068288, 0.744543826026224, 84.2262725152806]]",1.9683102311144332,-1.1732857326108277,0.003921082262988566,0.002189443474238558,210.6784783636865,2.005695355883626,210.98734759348756,[ 11702.70982375  -4913.56755497 -30229.8972139 ],"[8.436031233831761, -57.51863428440816, 61.059472701416055]",2021-01-12 19:30:00,159162.414049,"GPS BIIF-3  (PRN 24)    
",0,0,0
"[19533.91391369275, -17741.194713857945, 0]","[2.6046269420716777, 2.901616982026173, 0]","[24817.006411871625, -7914.911100909703, -4218.312183847813]","[1.1393772101495634, 1.956313631235132, 3.174605356100776]","[11946.851535734057, -23147.405110839307, -4218.312183847812]","[[2.189102104291991, 0.577213502743106, 20.799028344387306]]",2.8234175170946507,0.33975256719943897,-2.8718048736389197e-05,0.000465152368366372,317.75019541274855,2.0056325073745507,318.08845221097084,[  6905.19221813 -20965.14412052   7801.90261475],"[5.044433708269724, -13.289319010971342, 15.351632235983868]",2021-01-12 19:30:00,170922.580705,"GPS BIIF-4  (PRN 27)    
",1,0,0
"[-23121.713557894105, 13296.533976493256, 0]","[-1.931200703400962, -3.3395158890390992, 0]","[-19011.22883831355, -18284.486653502998, -3957.5471590986263]","[1.2633203513504445, -1.9883447533041498, 3.0548992392274776]","[-26371.947663953495, 519.2788601047232, -3957.547159098626]","[[-0.5131399892408182, -2.29916952823629, 19.589826501159656]]",4.772746353426769,-0.48648158937885366,-0.0005772889663499455,0.0003781757027794001,150.09735310739734,2.0055296330124213,149.96002594028528,[-25695.30955935   1552.78745064 -13614.45427194],"[2.654082109430523, -15.048177505087112, 12.48274799254782]",2021-01-12 19:30:00,84905.303329,"GPS BIIF-5  (PRN 30)    
",0,0,0
"[-21665.391428173392, -15455.051245998178, 0]","[2.2497275768275373, -3.1443377888147888, 0]","[-20770.051828449985, -12010.817557083954, 11514.903534391586]","[0.05470764465117517, -2.7180560919776036, -2.749056648122611]","[-23178.307593613725, 6198.45532708618, 11514.903534391584]","[[-1.8836727677168812, -1.9602547665244094, -50.85918262137718]]",5.349320866448684,-0.21804043143683013,0.000793579240836572,-0.0011845848589569674,215.50247830793523,2.005619548309089,215.58308463314606,[-21396.92961454  15829.1439913   -5897.02681984],"[-8.859090115782854, 32.826940067595224, -37.92038774695038]",2021-01-12 19:30:00,319364.487073,"GPS BIIF-6  (PRN 06)    
",0,0,0
"[24862.227686587004, -9214.137491321571, 0]","[1.3462553349470807, 3.639518415531659, 0]","[-5993.694330257729, -14319.858255910895, 21495.301418094332]","[3.7196115201058877, -1.0550985872656353, 0.331292671988353]","[-14365.054799937225, -5884.548647835579, 21495.30141809433]","[[1.8834044981668736, -3.3766152261753426, -89.47768019251919]]",5.416133560914726,0.4930479367610497,0.0019015973067064427,-0.0037774196841022676,339.6648067814947,2.0057355604586036,339.7006311711296,[-15271.0676577   12960.70532697  10762.1036105 ],"[-10.51151405680213, 58.87798505368479, -66.66404536011761]",2021-01-12 19:30:00,139255.032385,"GPS BIIF-7  (PRN 09)    
",1,0,0
"[-15782.363679906275, 21422.834353882343, 0]","[-3.11894395078829, -2.2858410248405767, 0]","[6913.80082489296, -25585.168633261957, 2370.514551730117]","[2.2014684695507345, 0.2916208301631775, -3.165655449980615]","[-13207.351245793327, -22977.54053220195, 2370.5145517301166]","[[1.762604068000537, -1.3508267951440227, -13.06984208641646]]",4.095659575919148,0.3862140498935823,0.00031148245885183963,-0.0003696674986041247,126.37896764039647,2.005630480578348,126.23742364311354,[-17670.87287548 -12528.34817755   8808.33593693],"[0.04738703210814697, 8.304470862617375, -10.33372132660839]",2021-01-12 19:30:00,193080.422305,"GPS BIIF-8  (PRN 03)    
",1,0,0
"[11331.539143023116, 23952.41052392225, 0]","[-3.5018365826822873, 1.678091148636762, 0]","[16259.048585002009, -1722.7210582800762, 20851.794179932556]","[-0.5388358899551033, 3.7704855302427505, 0.7562698624640201]","[10276.134625364333, -12717.13355656398, 20851.794179932553]","[[2.2857446380825275, 3.0466829010500316, -86.36408175565633]]",1.0717586060458615,1.1417436750696315,-0.006971518626205117,-0.003322171377579305,64.68286370199075,2.005555857653377,64.39577066697885,[ 7426.11074899  4047.62897633 18487.49659316],"[-10.624692478975795, 61.36063222058722, -59.960405652103404]",2021-01-12 19:30:00,353761.739713,"GPS BIIF-9  (PRN 26)    
",1,0,0
"[20601.391939508503, -16565.03250082492, 0]","[2.427513441756881, 3.0425768247695393, 0]","[16535.492612066362, -14171.01629714671, -14985.907806367051]","[2.948985708928108, 0.9981581068368823, 2.3360776799645646]","[1667.4957364614638, -21713.122225663028, -14985.90780636705]","[[2.790769927561985, -1.3800143220713612, 64.94831843687265]]",3.251348851899575,-0.09142703299077926,-0.0006549341599095885,0.0018956658266019854,321.1966006586465,2.005514754358272,321.4159749321386,[ -2855.83583047 -25915.2477822   -2390.3612999 ],"[12.26708391506476, -44.57217617241451, 45.725448795732156]",2021-01-12 19:30:00,124049.126592,"GPS BIIF-10 (PRN 08)    
",0,0,0
"[7639.563509735084, 25384.979798138247, 0]","[-3.7096632442382655, 1.1415672834264374, 0]","[11615.848532574846, 11079.559828766298, -21096.813665580634]","[-1.7144719179908456, 3.3878306527035047, 0.8049638248178165]","[16047.999248239294, -382.4960907566865, -21096.81366558063]","[[1.1839812934813663, 3.6076306332082906, 88.94902513231803]]",2.4070580873281884,-0.6897051440648575,0.0012330643075438804,0.0030409536199400354,73.25192747143637,2.005636879784059,72.89506299786592,[ 15622.50424188 -17298.42672396 -19226.00818383],"[13.402407793172063, -57.72200034228994, 66.44465384294604]",2021-01-12 19:30:00,120300.644448,"GPS BIIF-11 (PRN 10)    
",0,0,0
"[26398.020809890644, -1465.9966123709435, 0]","[0.21480947810305923, 3.8857482116930084, 0]","[22270.202587707874, 4960.036794567967, -13358.172047323093]","[-1.9948289712519554, 2.2162066291754856, -2.500853420096991]","[19252.182732849804, -12244.074008351072, -13358.17204732309]","[[0.15714673436788784, 2.9776197459758036, 53.31058590717813]]",2.4752285130860603,-0.1922442158141447,0.0005802297181332889,0.0017219322334763067,356.82128187186686,2.0056909487367203,356.83586451128934,[ 16306.14724204 -20736.41675316  -5134.7607798 ],"[7.37091600283783, -34.13572185226583, 40.38974591549466]",2021-01-12 19:30:00,155383.56576,"GPS BIIF-12 (PRN 32)    
",0,0,0
"[3686.5525472693807, -26298.426235563187, 0]","[3.8364778451151236, 0.5420056805196738, 0]","[8703.268539853918, -15469.847221506358, 19751.831201627298]","[3.621423361533048, 0.3401699847113905, -1.3348818793507182]","[-4788.190029903919, -17091.99498511182, 19751.831201627294]","[[2.8007948522866504, -2.32076947958225, -83.8595061173738]]",5.001480092198178,1.1370264400854992,0.005961816491607183,-0.0034933729147515534,277.9797949030342,2.0057215645004245,278.04135679932324,[-8217.1319373   2443.96592077 18508.26806374],"[-8.963574224595728, 55.98860602498327, -61.89165954739928]",2021-01-12 19:30:00,107340.05088,"GPS BIII-1  (PRN 04)    
",1,0,0
"[-26363.43004416007, -3478.482532449725, 0]","[0.5067462681432034, -3.836020046372215, 0]","[14326.488217659597, 21925.396577725274, 4599.891811837935]","[-2.167819004969594, 0.7626657079881559, 3.1129958811405656]","[25635.052158061735, 5367.9959570328265, 4599.891811837934]","[[-0.9931695316153274, 2.072368814163981, -16.105695258555393]]",1.4497307210201953,-0.12403008235646835,-0.0004757436324544004,-0.00039088391223792416,187.5164028043895,2.0056101917205496,187.52531417129217,[26191.01347773  3186.41377439 -3289.31037752],"[-3.593593370107666, 12.207436472598332, -10.136029767107848]",2021-01-12 19:30:00,87653.448001,"GPS BIII-2  (PRN 18)    
",0,0,0
"[-26364.692029824408, 3410.631043316203, 0]","[-0.49700782858018994, -3.8383589144706907, 0]","[5327.152076672097, 20539.134761717527, -16015.454534078446]","[-2.272299626029328, 2.27213639287199, 2.1573285701766096]","[18292.42674338531, 10752.754523649603, -16015.454534078444]","[[0.0005418951065034872, 3.2134014820149774, 69.07109235918055]]",1.8728000228657162,-0.825284009465066,0.0018928426344686524,0.002028194654608479,172.62893939349533,2.0056758025285597,172.62214031652547,[ 20119.74066048  -6267.96400679 -22825.34541313],"[9.44708393897262, -44.72269367789433, 51.88231899512544]",2021-01-12 19:30:00,123574.550401,"GPS BIII-3  (PRN 23)    
",0,0,0
"[4716.269088572349, -26115.16181593669, 0]","[3.8122979001899933, 0.7067606896576725, 0]","[-24252.61246837539, 7204.188284189504, -8009.70226744602]","[-1.5419799440406985, -1.9470737548452084, 2.9773020669068235]","[-11953.059783175053, 22298.293705911536, -8009.7022674460195]","[[-2.4684195180588704, -0.2751425766703304, 36.44243566044252]]",5.746451430422905,-1.1285680641627118,-0.000763067147406474,0.0005238221058673015,280.23666042621767,2.0056237354208846,280.5029191391956,[ -7086.74769812  11910.52857063 -29269.75371789],"[2.861670354377439, -25.492087454024176, 26.00354274400671]",2021-01-12 19:31:00,126612.364417,"GPS BIIR-2  (PRN 13)    
",0,0,0
"[-24331.106808324967, 10996.673462755385, 0]","[-1.5955022267097785, -3.507691475876513, 0]","[6390.496880726648, 21848.110545746178, -13955.328765846542]","[-2.161824236757574, 2.1493104242051224, 2.3572245364290914]","[20017.559544149834, 10838.620516382069, -13955.32876584654]","[[0.005112729392484416, 3.048441108210462, 60.663629181314796]]",1.7973770438708794,-0.7568707730140735,0.0016189787218251674,0.0017570454862504505,155.6778808787342,2.005637038758273,155.54156047855017,[ 21825.37649596  -5031.61127359 -21155.07218824],"[8.268104530805832, -39.118936014660065, 45.72435037621527]",2021-01-12 19:31:00,81095.790336,"GPS BIIR-4  (PRN 20)    
",0,0,0
"[26065.401767426214, -640.5255723835351, 0]","[0.09518455100925353, 3.9444857428954134, 0]","[-11206.328032200172, -10223.078942693419, -21206.657239470962]","[1.947281184808306, -3.378457694708662, 0.601786895014684]","[-15149.535907266996, 764.6520962142695, -21206.65723947096]","[[-1.0292309487423126, -3.7611918405999454, 89.20478284850934]]",4.029303173199507,-0.9148865821778279,-0.003019425866313026,0.002459701588723469,358.5915809050539,2.005642000354451,358.61789386967,[-14664.45894928 -11933.61228546 -24567.62227042],"[12.368363583824305, -63.53572564611368, 61.50556326331345]",2021-01-12 19:31:00,98699.107777,"GPS BIIR-5  (PRN 28)    
",0,0,0
"[25858.969255114887, 4506.006044699536, 0]","[-0.6650761957748779, 3.8628006894679396, 0]","[17025.3658250137, -12533.243002761626, 15557.799322848585]","[0.27997797618813675, 3.1825536099934, 2.2707972972301915]","[3080.6541883263853, -20915.42089975157, 15557.799322848583]","[[2.4577536287853037, 2.041196278613377, -62.73084887838478]]",3.4350461338238003,1.3397294574956669,0.0043159028385883775,-0.0017517680028434639,9.886807465125685,2.005684377423398,9.768420252101725,[-1308.32824039 -4329.66516993 19224.89333562],"[-6.911486502290974, 44.61351650253818, -43.671866639253984]",2021-01-12 19:31:00,113872.312032,"GPS BIIR-8  (PRN 16)    
",1,0,0
"[22636.248426842318, -12777.24682436723, 0]","[1.9048014507208475, 3.4690173156197264, 0]","[7442.912934968566, -13447.55966753633, -20962.441777690197]","[3.026728957544971, 2.505154254734767, -0.47483015940518647]","[-4313.533890942972, -14752.194390705356, -20962.441777690194]","[[3.9099020346096305, -0.3867196687685359, 87.10781537640706]]",3.432418233958326,-0.4511086138850713,-0.0012838233608762366,0.0029312383090228183,330.53453628824104,2.0055631873843165,331.23645110730666,[ -7269.16882454 -24286.25057121 -12280.51043971],"[16.39830485534735, -58.715399601455246, 62.344252607479355]",2021-01-12 19:31:00,114716.662945,"GPS BIIR-9  (PRN 21)    
",0,0,0
"[-4852.590963468277, -26146.443864357443, 0]","[3.8090102782833783, -0.6795646457288071, 0]","[10575.321400424058, -23474.206370441945, -6656.453888247474]","[1.8442968301932814, 1.6971874929702262, -2.947624674825036]","[-9231.059841031723, -24034.627553920105, -6656.4538882474735]","[[2.5037049168807295, -0.1154897109824291, 24.863536238705525]]",3.7490509125171227,0.14614621509292913,-0.000585630250268412,0.0006590999379911255,259.48671692549306,2.0056767608855406,259.8840576773549,[-13998.88469669 -20138.15940105   3610.0899365 ],"[6.039121313033983, -16.47618009564854, 17.79162200868128]",2021-01-12 19:31:00,153027.622176,"GPS BIIR-10 (PRN 22)    
",0,0,0
"[-3867.2437463853516, 26308.784889118768, 0]","[-3.832938674228376, -0.5295361978182282, 0]","[-25360.916525168268, -2656.210153414375, -7541.630935031666]","[1.0909968368020917, -2.140556563448125, -3.0330794526293507]","[-19737.365261093943, 16145.214520898026, -7541.630935031665]","[[-0.7526081241276915, -2.2816304500795073, 28.47641719617066]]",5.228537660945744,-0.9533311014010989,-0.0009012847004621923,0.00039222771019983556,98.36132189513853,2.0057088382830752,97.86615220593842,[-15974.6279876    9064.94915271 -25866.35134101],"[3.6939741838683244, -21.130065489926857, 18.882623757039532]",2021-01-12 19:31:00,89429.739937,"GPS BIIR-11 (PRN 19)    
",0,0,0
"[-24494.298601276478, -11480.75768921177, 0]","[1.6444898652042, -3.42894785383502, 0]","[-18123.12763095258, 1772.0532223963564, 20004.76276630363]","[-1.7666727119402033, -3.0746584704143753, -1.3738169893672523]","[-11497.405509615945, 14120.821303955909, 20004.762766303626]","[[-3.4275380063972545, -0.9091976658061505, -84.95520817318773]]",5.9681980375072845,-0.12961442092854605,0.0001048499818343858,-0.001998924631634958,205.12663086679459,2.005730627889828,205.6172078493767,[-8330.92410714 25567.89435016 -3505.10134577],"[-15.424565485544523, 56.43946970453565, -61.69790184425578]",2021-01-12 19:31:00,78683.574913,"GPS BIIR-13 (PRN 02)    
",0,0,0
"[17271.795598925426, -19853.502914742057, 0]","[2.923078625711513, 2.5965380362330452, 0]","[-21300.469011107223, -6447.287789250018, -14042.756184815687]","[2.2830759144569086, -1.9870067149581105, -2.4750287087697767]","[-19572.32047911346, 10592.533738130238, -14042.756184815686]","[[0.19552204826699904, -3.020331512450802, 56.19665421461471]]",4.74867090988166,-1.0052301071945315,-0.002354871745748006,0.001063862954658292,311.0138088007802,2.0058071081119913,311.6170467393404,[-16960.68869322    615.63667204 -26738.66783032],"[8.714122431387239, -40.309173224887985, 38.29437557148834]",2021-01-12 19:31:00,91345.575265,"GPS BIIRM-1 (PRN 17)    
",0,0,0
"[-17254.63146617695, 20414.20181218544, 0]","[-2.9587753216544326, -2.4624050314831827, 0]","[20799.675822857746, 10123.825728514006, 13391.922227407242]","[0.19449055840436769, 2.9457264081663266, -2.470356106723898]","[21831.415504601006, -7649.029924295103, 13391.92222740724]","[[2.2293550649138423, 1.9352278014796935, -58.42280620413868]]",1.5349577712875924,0.5202294426712739,-0.0021103252332158938,-0.0016874161484462197,130.2012535104784,2.005577227406567,129.76989730257606,[19779.33203472   709.16633326 11338.19794084],"[-6.500247360444777, 41.561422163423906, -40.64891619000572]",2021-01-12 19:31:00,81939.954625,"GPS BIIRM-2 (PRN 31)    
",1,0,0
"[-12020.76169458076, 23789.1547727432, 0]","[-3.457760498206854, -1.716239750596999, 0]","[-11028.666475604077, 24233.493903377184, -1236.481105515999]","[-1.9227442837157858, -1.0075010437442242, -3.1921125623607836]","[9451.318565051559, 24891.088533389695, -1236.4811055159987]","[[-2.069010675366954, 0.6566572613814706, 1.973997737413163]]",0.7560070570128508,-0.8332756497363194,-2.096621808620994e-05,2.480842084116244e-05,116.80545999010656,2.005752195227882,116.39797144651996,[ 14391.3885963   15263.22144995 -23089.49205876],"[-1.8382738751230616, -1.3085054234049733, 1.8754289423967876]",2021-01-12 19:31:00,107970.168193,"GPS BIIRM-3 (PRN 12)    
",0,0,0
