Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[20751.313478328095, 16251.376209730186, 0]","[-2.3886782793053536, 3.0874444055211208, 0]","[-19370.2197833645, 14177.919935094831, -10886.019090752168]","[-0.46689407136922934, -2.7170432201683203, -2.763653911955417]","[17037.184492475473, 16910.14999079423, -10886.019090752168]",[[ 4350.02373811 -5992.71870558  5235.01879421]],0.41734594702397404,0.11989250025562671,234589179.47472,-0.009786707217859653,[16580.13746927 37393.77662451  4927.80197701],"[4210.676208774038, -4652.319320551905, -705.5778800499183]",2020-10-09 16:09:00,"GPS BIIRM-2 (PRN 31)    
",1,0,0
"[26251.303045132776, -2358.302128642734, 0]","[0.34663436579292395, 3.888249441327996, 0]","[16290.488000904503, 1078.075413020662, 20691.791961876697]","[1.0767264923626296, 3.605538151846899, -1.038938784412755]","[-1487.0985778960737, -16258.252788150168, 20691.791961876697]",[[-14501.84824856  19972.18238676 -17456.05420312]],0.07904735490760603,0.13345474670372498,320074821.5180421,0.1997132628541475,[ -1660.69820432 -20965.12673474   2823.4417258 ],"[-14038.561628550662, 15508.29508644588, 2345.2202973628164]",2020-10-09 16:09:00,"GPS BIIRM-3 (PRN 12)    
",1,0,0
"[13060.657897157904, -22934.979940610734, 0]","[3.366574904562792, 1.9657563186242957, 0]","[6503.05397535564, 16467.30984741822, 19573.76011310918]","[-3.726234629941506, 0.04262953504486999, 1.145156189176769]","[15245.326509280894, -9002.33437740918, 19573.76011310918]",[[-19155.8685718   26382.29085728 -23050.99929653]],-1.3708316050489033,0.4304440213996443,-260185237.1366472,0.6604551637840059,[15559.05682734 -3153.40551478  7289.32401155],"[-18542.89514099321, 20480.579798019564, 3103.185943146515]",2020-10-09 16:09:00,"GPS BIIRM-4 (PRN 15)    
",0,0,0
"[21209.8753602371, 15938.579501257493, 0]","[-2.327240668824074, 3.102395955961606, 0]","[-2323.903580188271, -14689.811653904713, 21970.57202344744]","[3.860153267699058, -0.06533991065047418, 0.368588176891379]","[-14144.425875094204, 4596.336687098994, 21970.57202344744]",[[ 14061.56592569 -19367.5914754   16922.28913336]],0.5918231922471655,0.7467931568922253,-399104351.47116923,-0.17060117893719207,[-11310.76551262 -16826.50308525  18766.78171023],"[13611.62287277899, -15035.970555420643, -2277.9219213285646]",2020-10-09 16:09:00,"GPS BIIRM-5 (PRN 29)    
",1,0,0
"[7770.263789852696, 25275.35547802041, 0]","[-3.7033052436916782, 1.194221327460181, 0]","[19549.261530675234, -14687.374594997289, 10066.180756159807]","[0.5810153425755438, 2.612960374274201, 2.8240916346817944]","[-17568.396163335714, -17007.176577451104, 10066.180756159807]",[[-4072.72246917  5610.61047752 -4901.12009818]],0.6386720785765062,-0.15798582259835775,183295957.52373672,0.014976625024458788,[-18964.70682892 -25542.31840769  -5068.24818094],"[-3942.2453928757113, 4355.557468027092, 660.6600160359268]",2020-10-09 16:09:00,"GPS BIIRM-6 (PRN 07)    
",0,0,0
"[-15653.04046972703, 21572.181165346716, 0]","[-3.135481821042115, -2.252162781863986, 0]","[11964.271695174033, -10772.940047856177, -21240.919041011522]","[1.8282715855362628, 3.3308537992677705, -0.68287584781063]","[-12514.11707639273, -10129.0131932475, -21240.919041011522]",[[ -913.25297899  1259.3634355  -1103.26837885]],-1.287837084772233,-0.8807974277385711,12475368.851782786,0.024718486365277112,[-17245.28796886   5014.25714262 -21760.24394177],"[-884.3965173619594, 980.5554094779947, 146.10777132465546]",2020-10-09 16:09:00,"GPS BIIRM-8 (PRN 05)    
",0,0,0
"[21347.852428731665, -15477.915040380403, 0]","[2.274004541041012, 3.1709657698842384, 0]","[14056.877003483021, -5350.683748957051, 21658.048149446327]","[1.4838520635127372, 3.6076297737535765, -0.09649370750674313]","[-7486.602307526926, -13045.167440908353, 21658.048149446327]",[[-7306.77420302 10064.03124799 -8796.77868908]],0.28716109966952447,0.23007827325163321,223258888.812815,0.09420495120326863,[ -7027.99980596 -23797.61609691   5812.01005504],"[-7073.418281231289, 7815.651334628398, 1181.3259881166089]",2020-10-09 16:09:00,"GPS BIIF-1  (PRN 25)    
",1,0,0
"[-24142.86337870242, 11629.171189623006, 0]","[-1.6812141481009395, -3.4518382922736475, 0]","[6585.637502651605, 15005.05942546876, -21203.60924470332]","[-2.6818119923864567, 2.572164186574511, 0.9661906864470831]","[13788.191690541498, -8854.840460621672, -21203.60924470332]",[[-17865.44155572  24607.15159005 -21501.14047623]],0.3397625792125044,-0.6685014916474457,-597485805.9217894,0.2635780313151799,[  8782.61535493  24846.86405686 -20814.37892353],"[-17293.88668336186, 19104.440728058893, 2893.603015472536]",2020-10-09 16:09:00,"GPS BIIF-2  (PRN 01)    
",0,0,0
"[-26359.16220758232, -4945.868085599897, 0]","[0.7144526840233985, -3.7692285527875193, 0]","[9929.140467481699, -22896.329414457043, -9820.250115321822]","[2.6708967128687684, -0.01456150426412306, 2.7538382727817026]","[-24169.03972355151, -6219.907549128264, -9820.250115321822]",[[ 10809.48856363 -14887.96759787  13010.97252282]],1.2508175032607491,-0.3737765432896022,-401395347.97548115,-0.12868159080309996,[-26710.98124738  -8851.10843031 -11036.62308882],"[10463.96803667566, -11559.950921005231, -1749.167608532691]",2020-10-09 16:09:00,"GPS BIIF-3  (PRN 24)    
",0,0,0
"[19509.627934769516, 17782.935180334436, 0]","[-2.609746911914624, 2.8950026443301544, 0]","[25466.35897569269, 5685.78474209316, -3999.3472178409484]","[-0.9348773521519247, 2.049599200015347, -3.1807179552196003]","[1626.349090726238, -26042.629979465535, -3999.3472178409484]",[[-25871.59429902  35628.94494395 -31138.61486472]],0.374133937209889,-1.1945266475928833,281573470.57951164,-0.0648575974347534,[ -3078.93763899  -7841.89643356 -21323.23928096],"[-25044.873328535803, 27663.49232504355, 4184.907198455888]",2020-10-09 16:09:00,"GPS BIIF-4  (PRN 27)    
",0,0,0
"[11313.628327782231, 23967.821514974115, 0]","[-3.503345260139142, 1.6725582840959454, 0]","[19854.8024688831, -9803.067482258217, 14565.072638774514]","[-0.12186913283929734, 3.124818678290443, 2.300333751372947]","[-12792.250149880985, -18074.060120596725, 14565.072638774514]",[[ -8400.52729868  11571.48763568 -10110.28861291]],0.4880805230782522,-0.09230080458044128,335612768.8523693,0.03322856962352757,[-13811.23744579 -26013.53310093  -2726.24280528],"[-8131.686583821116, 8983.906853009925, 1361.1292650965959]",2020-10-09 16:09:00,"GPS BIIF-5  (PRN 30)    
",0,0,0
"[-25056.26642114292, -8958.37965796664, 0]","[1.3042169606007086, -3.640121367852618, 0]","[-12681.886096644805, -7713.446228697031, 22084.871866784542]","[2.2177723708621717, -3.16315092470594, 0.16561217222203006]","[-5631.634309438641, 13733.615062904117, 22084.871866784542]",[[ 16868.51440047 -23234.52917902  20303.22569533]],0.37213944933789145,1.3813332729512888,-106223614.93982516,-0.1830112399974468,[-1774.10835461 -4545.19048937 25443.69481605],"[16329.038477852893, -18040.061908597356, -2731.190644209117]",2020-10-09 16:09:00,"GPS BIIF-6  (PRN 06)    
",1,0,0
"[2132.7586030996285, 26471.100178340177, 0]","[-3.8614342123554963, 0.3170437632721065, 0]","[-25781.63385944922, 1084.608615971121, 6276.845035388362]","[-0.837348505136887, -2.276891585586472, -3.0208944226188703]","[5109.847888658509, 25293.447271325225, 6276.845035388362]",[[ 20499.49102251 -28229.66469704  24667.77922225]],0.35102405206786014,0.7662673392406822,621428606.3935757,0.1078310141766824,[ 8165.38509529 22298.25435615 22854.65379794],"[19843.908928640194, -21914.95876731956, -3318.631246349072]",2020-10-09 16:09:00,"GPS BIIF-7  (PRN 09)    
",1,0,0
"[24076.233255472016, 11041.634792914703, 0]","[-1.6148849198644928, 3.533071395895736, 0]","[-14898.159306908747, -20334.987257473942, 8131.16530248539]","[1.302012103127958, -2.1458596836338066, -2.9648773152300465]","[-17750.183278903572, 17899.660640944883, 8131.16530248539]",[[ 29248.43811006 -40279.43845629  35196.20907185]],1.5338375793231147,0.896982742464284,-484747705.5819733,0.3532048763406996,[-15000.05387008   -554.63576077  18798.59166042],"[28312.91622502387, -31269.51101739224, -4735.846580361335]",2020-10-09 16:09:00,"GPS BIIF-8  (PRN 03)    
",1,0,0
"[-2163.8366463595207, -26482.117524317477, 0]","[3.8611067236324836, -0.2965006276037766, 0]","[11886.413413280872, -11204.827167360338, 20955.900408287194]","[1.843777249902467, 3.330343676467752, 0.7108826927157249]","[-12928.476056701482, -9984.462055270493, 20955.900408287194]",[[-636.16164782  877.78759831 -768.43067843]],0.44801289820148926,0.2638230933551917,23748338.006331973,0.006577962193728993,[-12085.59098243 -25146.53372378   7536.32890521],"[-615.9815736486332, 683.3374225021068, 102.22394864960901]",2020-10-09 16:09:00,"GPS BIIF-9  (PRN 26)    
",1,0,0
"[13226.057490477211, 22949.120312456416, 0]","[-3.356439378439902, 1.955610766817643, 0]","[8754.73026810672, 15010.678289657368, -19990.621678029762]","[-3.6357025160656957, 0.4180374944226113, -1.3026936095512143]","[13453.95816609815, -10998.035026666168, -19990.621678029762]",[[-19678.83184767  27102.75749604 -23683.18894271]],0.35822219782947107,-0.7352585573679332,-600106697.784146,0.30128097786036356,[  8343.46227163  22286.40483082 -21522.77796464],"[-19049.476123470627, 21041.907467890705, 3186.064641348197]",2020-10-09 16:09:00,"GPS BIIF-10 (PRN 08)    
",0,0,0
"[3482.2904512601617, -26309.043163924303, 0]","[3.8405097507938866, 0.5315183531298415, 0]","[8945.874937817072, -14620.829245209901, -20260.67059027221]","[2.1660430179593204, 2.993711690990371, -1.1738717396862561]","[-15841.67803825718, -6545.117504892403, -20260.67059027221]",[[ 4788.88968102 -6593.33624162  5758.43102882]],-1.3558091722127175,-0.7362791626322522,-81809093.87869263,-0.12975986260169145,[-19936.77081047   4353.42826667 -18494.24116018],"[4635.361463284096, -5115.613178721721, -777.1693624154382]",2020-10-09 16:09:00,"GPS BIIF-11 (PRN 10)    
",0,0,0
"[-9868.285195550858, 24704.843838431556, 0]","[-3.5975151327267385, -1.4204768169917, 0]","[7364.895356698621, 15396.644921567184, 20406.22462206267]","[-3.692138210321726, 0.3288193388485967, 1.1044739906807284]","[14052.874078626497, -9685.818942464752, 20406.22462206267]",[[-18984.94774478  26147.23512618 -22845.69453304]],-1.2324549698661178,0.44960588103935356,-199315348.56014985,0.7368470911477124,[14409.90390823 -5070.43856537  7371.70152043],"[-18377.449107084514, 20298.336276814065, 3075.4890281595676]",2020-10-09 16:09:00,"GPS BIIF-12 (PRN 32)    
",0,0,0
"[8883.495510610785, -25021.71805825374, 0]","[3.650708002285249, 1.2996226719371946, 0]","[-4065.7520293021817, -15309.49509352328, -21309.431890395277]","[3.820691114989522, -0.12485803485450009, -0.6351518576963564]","[-14483.602801828672, 6413.753149385224, -21309.431890395277]",[[ 16174.23153525 -22276.7698892   19463.64436708]],-0.8544371570791488,-0.4101569262807433,-62651104.24874595,-0.4484286671040804,[-17106.65181     14893.85240139  -9862.45320414],"[15656.626761983023, -17293.775288771158, -2620.4435493084065]",2020-10-09 16:09:00,"GPS BIII-1  (PRN 04)    
",0,0,0
"[-26512.624256350697, 1969.2511763109717, 0]","[-0.28694772107843114, -3.8596182334584253, 0]","[16631.16462053894, -20602.576488583243, -2394.8696312008788]","[1.5419009563916402, 1.6119748236253242, -3.162763113379421]","[-22953.459682645702, -13198.503066656753, -2394.8696312008788]",[[ 3309.93677949 -4557.72013993  3978.25504891]],0.9548198861272752,-0.33779067344571834,-147490960.7873262,-0.02174732425859591,[-25418.5074653  -17992.5449315  -10938.76733973],"[3203.509929490037, -3534.891439441301, -538.8373019467334]",2020-10-09 16:09:00,"GPS BIII-2  (PRN 18)    
",0,0,0
"[22637.905798350257, -13703.833069300126, 0]","[2.0061518391277895, 3.330716126222375, 0]","[-8.934127444697879, 15005.193895147966, 21797.107516287684]","[-3.88802301244601, 0.02618875190509673, -0.03010513374006396]","[14831.4515347786, -2276.8331122707436, 21797.107516287684]",[[-12612.47554617  17213.28094065 -15087.35981409]],-1.5428216358923512,0.6984197172288692,-211340891.48110306,0.38480746325734205,[16291.80991999  -455.87727361 13683.80374567],"[-12216.888495415955, 13314.069729865436, 1991.7619969757877]",2020-10-09 16:10:00,"GPS BIIR-2  (PRN 13)    
",0,0,0
"[-1006.2381289581131, 26551.067370397162, 0]","[-3.871593733207709, -0.08579384905400143, 0]","[18549.218506248435, -16798.81328327606, 8927.376924977265]","[2.4624440830625596, 1.158569637447011, -2.7551196258102486]","[-19428.285157032384, -15773.882552369814, 8927.376924977265]",[[-1493.7611726   2036.54435322 -1790.45958937]],0.6890137644384858,-0.15071474019981312,69337916.73685417,0.005675857935343318,[-20787.8665397  -25237.81241245  -4965.54838335],"[-1447.6475260772534, 1577.96183517565, 231.88802442299]",2020-10-09 16:10:00,"GPS BIIR-3  (PRN 11)    
",0,0,0
"[-758.3284149752651, 26552.810788073843, 0]","[-3.8724183276153803, -0.08922905095530315, 0]","[-16768.931582371104, -6773.258088400646, 19456.43161491546]","[-0.036341051693129164, -3.657285178989724, -1.2753548428142782]","[-4139.893537688024, 17604.981483743082, 19456.43161491546]",[[ 19609.83648541 -26760.20556461  23459.6238932 ]],-0.1587941313922749,1.5312731095951053,16176456.900257196,-0.08198477726093213,[ -165.20809822  1031.63228434 26420.74614227],"[18995.393127810094, -20699.977428054844, -3093.379603015251]",2020-10-09 16:10:00,"GPS BIIR-4  (PRN 20)    
",0,0,1
"[-16479.055444000827, 21209.123291303837, 0]","[-3.0596187741527845, -2.3049276422723, 0]","[-5212.92390473261, -24201.673789714176, 10415.881587840247]","[2.51302461727279, 0.6114537382074372, 2.8257370858365842]","[-23125.19460279255, 8838.60647631996, 10415.881587840247]",[[ 24554.61135829 -33504.85356432  29373.90510124]],1.0463320283926134,0.5157310495095728,-838221211.931685,-0.021627071278085837,[-21126.32671435 -12221.68303422  13836.38261009],"[23785.463875970785, -25916.611961032966, -3871.989285687626]",2020-10-09 16:10:00,"GPS BIIR-5  (PRN 28)    
",1,0,0
"[-21558.281779600926, 15923.537010841736, 0]","[-2.3018128949122127, -3.072193577784605, 0]","[-16554.01197905585, -704.5927901958785, -21066.247426193375]","[-1.151484778436838, -3.525886449678371, 0.989405645611461]","[1825.2158314215226, 16468.161730182543, -21066.247426193375]",[[ 14498.56483545 -19784.83982837  17347.61052818]],0.006843931307144606,-0.0728852636879016,471697862.56141543,-0.1014052196368733,[  228.15885092 33336.87589659 -2434.13567824],"[14044.67568090324, -15306.23232559093, -2284.966573912617]",2020-10-09 16:10:00,"GPS BIIR-8  (PRN 16)    
",0,0,0
"[-14946.511700922933, 22386.6226805648, 0]","[-3.221910864862509, -2.058202764647227, 0]","[-20299.727623083476, 16339.551549937112, 6745.309529100472]","[-0.8907382257615084, -2.21276103081502, 2.987839064473563]","[19241.028713317282, 17573.92103310273, 6745.309529100472]",[[ 3285.11786975 -4483.83193076  3934.9815058 ]],0.6659501642742829,0.4749913215919343,159100302.15874544,-0.0053209156610902015,[21149.28877782 26918.33344772 17604.63250645],"[3182.72460753517, -3471.82643691835, -515.4212418641531]",2020-10-09 16:10:00,"GPS BIIR-9  (PRN 21)    
",1,0,0
"[8891.118876099416, -24961.656812422832, 0]","[3.649384748848673, 1.3268434034671301, 0]","[-10030.757942602806, -24389.877314543242, 2579.551389010536]","[2.0462867851069246, -1.141468625762722, -3.0964951529026585]","[-22577.32633516617, 13628.88681723392, 2579.551389010536]",[[ 28765.39740879 -39251.6343668   34406.76120386]],1.4288237109854693,0.509997544485798,-721668255.409762,0.2212653861045743,[-21014.58412308  -3003.70375681  11874.09058051],"[27863.631578398494, -30358.638401922257, -4539.838742155992]",2020-10-09 16:10:00,"GPS BIIR-10 (PRN 22)    
",1,0,0
"[21587.496303705106, -15132.679967990904, 0]","[2.2237485386971314, 3.207317565027834, 0]","[-18036.41389628994, -10836.748423526979, 15883.030474157624]","[2.8599037389708792, -1.450116757659735, 2.2248720231214447]","[-7962.895959543404, 19476.643205916742, 15883.030474157624]",[[ 24080.78177374 -32861.23622325  28809.02670565]],-1.1067169839517534,1.3890231937069812,-57153154.97581259,0.07516679955748888,[-4158.37744875  2081.4333494  25300.11845903],"[23326.364305673695, -25419.87322327885, -3798.0352539142305]",2020-10-09 16:10:00,"GPS BIIR-11 (PRN 19)    
",0,0,0
"[-27093.04121306217, 214.43926845386386, 0]","[-0.030666456821715486, -3.796834010390183, 0]","[-11280.615943276656, -10689.278991847415, 22193.82537885892]","[2.520926616380765, -2.8380666653171898, -0.08482648211492941]","[-8846.222916464885, 12777.218849869854, 22193.82537885892]",[[ 18286.24781707 -24956.36577244  21877.08265056]],0.5860154563113891,1.2189468569193176,-231837720.39779195,-0.18601754588108615,[-5041.10806507 -7594.31610092 24828.47610212],"[17713.09573514896, -19305.05575424019, -2885.682658545211]",2020-10-09 16:10:00,"GPS BIIR-13 (PRN 02)    
",1,0,0
"[23358.4379659684, 11948.252247753788, 0]","[-1.7643193113188178, 3.5021339239027394, 0]","[-14146.559459456283, 11684.970032160232, -18754.031214475806]","[-3.3101827419656273, -1.2949478060008033, 1.65637104773343]","[13703.48384013318, 12201.565466595815, -18754.031214475806]",[[ 2122.6330315  -2893.73305786  2541.6015398 ]],0.3027923641757661,-0.09967474970279748,103015500.56235678,-0.012255362572913703,[11674.30814087 37369.92797418 -3915.34133722],"[2056.782955001098, -2240.2757713659203, -331.1984595559185]",2020-10-09 16:10:00,"GPS BIIRM-1 (PRN 17)    
",0,0,0
"[20461.02176014919, 16619.81869616474, 0]","[-2.4425737497886852, 3.0444571108714733, 0]","[-19423.279091404627, 13849.20393695031, -11216.397131559203]","[-0.4161618590890419, -2.7536957271014395, -2.7347494899305618]","[16646.237397910074, 17087.041898534, -11216.397131559203]",[[ 4696.47813377 -6410.72195317  5618.20334892]],0.40753937937601803,0.11773602480424386,250639441.98486093,-0.010259519132804325,[16174.56937546 37466.38085121  4826.97301603],"[4549.062505742695, -4958.557583016707, -742.3183275293205]",2020-10-09 16:10:00,"GPS BIIRM-2 (PRN 31)    
",1,0,0
"[26288.77924950245, -1891.4112361691314, 0]","[0.2780115725242262, 3.893800004119992, 0]","[16417.123323043805, 1510.5074293825733, 20563.895058940772]","[1.0340069610863152, 3.602157191281369, -1.0928229867033394]","[-1007.8542850556698, -16455.631274379713, 20563.895058940772]",[[-15056.02643333  20545.67825463 -18014.64106303]],0.059513528443405385,0.12459478451271358,320925287.917904,0.2024093557404941,[ -1231.15405759 -20662.53205436   2592.43841441],"[-14584.673312033754, 15894.84921481505, 2372.893616354294]",2020-10-09 16:10:00,"GPS BIIRM-3 (PRN 12)    
",1,0,0
"[13455.66922254051, -22699.723576844888, 0]","[3.3326679920767694, 2.0241101388159706, 0]","[6062.682602952564, 16469.853872790343, 19705.84374637079]","[-3.742302591782229, 0.0005122399691930291, 1.0949286956787796]","[15354.161916381738, -8500.70107583742, 19705.84374637079]",[[-18905.58886006  25799.46821737 -22613.77403227]],-1.3931358277407015,0.4507489280990265,-262438131.4876493,0.6433994817986248,[15746.64129819 -2827.36588915  7742.91984098],"[-18312.734172049702, 19954.40967204701, 2984.8187502355754]",2020-10-09 16:10:00,"GPS BIIRM-4 (PRN 15)    
",0,0,0
"[20928.067783144776, 16307.490635249824, 0]","[-2.3810707508350384, 3.0612024796263824, 0]","[-1861.498428552859, -14695.386426552288, 22011.33147561638]","[3.8655000096652703, -0.027801117275870757, 0.3124024886406036]","[-14240.346124272235, 4078.247281140112, 22011.33147561638]",[[ 13764.15061386 -18784.61392452  16465.23227265]],0.5858721545416635,0.726363623294926,-396930160.9498292,-0.16311056108248242,[-11464.9950764  -17277.13039035  18420.87790043],"[13332.526179388347, -14529.650174793414, -2173.1625736416186]",2020-10-09 16:10:00,"GPS BIIRM-5 (PRN 29)    
",1,0,0
"[7321.441445110219, 25415.715377689223, 0]","[-3.722961519382939, 1.128198721379961, 0]","[19616.407966905197, -14369.247464126061, 10405.929020732905]","[0.5300039936670984, 2.6508052469940124, 2.797427771888926]","[-17189.630587385218, -17198.701534667827, 10405.929020732905]",[[-4420.46377217  6033.86570647 -5287.83982273]],0.6268604705402779,-0.15575754985979906,196457497.48681378,0.01574000529630586,[-18571.72794972 -25640.32556206  -4971.50302406],"[-4281.700265715871, 4666.949082461093, 698.7471433730741]",2020-10-09 16:10:00,"GPS BIIRM-6 (PRN 07)    
",0,0,0
"[-16027.227343429991, 21298.42699287326, 0]","[-3.095434289013461, -2.3063562427386888, 0]","[12182.02599398764, -10371.277412797172, -21319.705818733877]","[1.7977478618020641, 3.3575825762232188, -0.6290742605196569]","[-12105.87422483461, -10460.065092716794, -21319.705818733877]",[[-1436.28410333  1961.54748042 -1722.3023341 ]],-1.275488663527709,-0.8955751019457585,18530177.459094133,0.038590794732409166,[-16895.94121331   5139.78455843 -22053.79516194],"[-1391.6176245107893, 1520.056912636473, 224.88623037482688]",2020-10-09 16:10:00,"GPS BIIRM-8 (PRN 05)    
",0,0,0
"[21617.667884532402, -15094.574588387695, 0]","[2.2178868493147443, 3.2108967671669855, 0]","[14232.919300260855, -4916.477904386625, 21643.05893302246]","[1.4469024803989232, 3.621039785578158, -0.15304969533525803]","[-7027.131438535582, -13317.926660618188, 21643.05893302246]",[[-7860.83666349 10728.01172082 -9407.02076035]],0.2727396200510509,0.22446673775697673,234907287.35809398,0.1004033043894803,[ -6612.54806757 -23640.74143237   5604.68658223],"[-7614.808867069666, 8300.515824452827, 1238.600755877339]",2020-10-09 16:10:00,"GPS BIIF-1  (PRN 25)    
",1,0,0
"[-24343.206623893773, 11208.495744053133, 0]","[-1.6202773781449038, -3.4805404498408277, 0]","[6259.178726436194, 15314.918653541163, -21083.122014635035]","[-2.6979552366202753, 2.5340583736729307, 1.019336208087228]","[14182.772993990977, -8518.978923261562, -21083.122014635035]",[[-17959.51186809  24510.41179915 -21484.9911872 ]],0.3500967085518066,-0.650794958494313,-614660313.1125289,0.25260104396505123,[  9228.75705748  25274.70353772 -20488.50595997],"[-17396.448342777094, 18959.24202466346, 2834.921462861969]",2020-10-09 16:10:00,"GPS BIIF-2  (PRN 01)    
",0,0,0
"[-26268.67173685829, -5401.456478073758, 0]","[0.7802906006593762, -3.756283942244314, 0]","[10250.999958528348, -22894.62457362276, -9485.357789059042]","[2.645651159389625, 0.04272341267720692, 2.77798976403251]","[-24188.936937752816, -6643.956978961927, -9485.357789059042]",[[ 10602.91285571 -14469.84322417  12686.0331373 ]],1.233031475854215,-0.37363235220439034,-395786600.522687,-0.12169239525576096,[-26739.93242803  -9391.70677272 -11111.13842152],"[10270.795839922615, -11193.98107969308, -1672.0450888456899]",2020-10-09 16:10:00,"GPS BIIF-3  (PRN 24)    
",0,0,0
"[19197.812012055678, 18122.85152507801, 0]","[-2.6593732847437357, 2.8489682787390014, 0]","[25351.854873138003, 5927.485781245868, -4375.168597291829]","[-1.0000307934503538, 2.0347099775389075, -3.1699811104049855]","[1996.5990054308445, -25958.914183899058, -4375.168597291829]",[[-26132.26185992  35658.77253598 -31264.23085471]],0.3629616679021849,-1.2249168822494199,259507023.57750672,-0.0541471171507932,[ -2753.75285085  -7250.76491897 -21522.78695192],"[-25313.9425246562, 27584.7475329839, 4119.542645184619]",2020-10-09 16:10:00,"GPS BIIF-4  (PRN 27)    
",0,0,0
"[10890.639672734887, 24165.218419545337, 0]","[-3.5319240933665568, 1.6106069113291943, 0]","[19837.076280286714, -9425.826155217737, 14839.40765958601]","[-0.17295601232891422, 3.1495679452574135, 2.262487657453808]","[-12337.509833437874, -18169.800361262212, 14839.40765958601]",[[ -8752.55779559  11946.05939724 -10470.98778963]],0.4749163953290291,-0.08907651025754694,343234780.6999732,0.03405290590175387,[-13340.08845144 -25945.08005391  -2605.58704783],"[-8478.07075320126, 9240.610116950518, 1382.0643535729507]",2020-10-09 16:10:00,"GPS BIIF-5  (PRN 30)    
",0,0,0
"[-24895.701254316577, -9394.470125663524, 0]","[1.3677221999726643, -3.616788907449181, 0]","[-12413.42310684844, -8092.405986111968, 22101.40045364693]","[2.2496766905612366, -3.1430565292432, 0.10943701052493982]","[-6107.099533047578, 13501.238579002656, 22101.40045364693]",[[ 17062.34314203 -23286.49727214  20413.59723012]],0.4216171101093541,1.354978371471073,-124470289.09369251,-0.18215717406905074,[-2268.72578565 -5058.32155783 25287.33522142],"[16527.592468741594, -18013.81730158006, -2692.3595593340588]",2020-10-09 16:10:00,"GPS BIIF-6  (PRN 06)    
",1,0,0
"[1669.655648729866, 26505.05065429164, 0]","[-3.8662834753283923, 0.24948277442549477, 0]","[-25878.04609445786, 811.5667677480884, 5913.843918003135]","[-0.7714664251963582, -2.2793098007504784, -3.0364413304607094]","[4743.964073659586, 25452.440259299812, 5913.843918003135]",[[ 20932.92802877 -28562.91845079  25038.73440432]],0.3342043424718535,0.7640025960431156,626031397.4082191,0.11572147722443313,[ 7777.91614177 22399.94319253 22718.33141676],"[20276.892541867186, -22092.055663417963, -3302.6362475211054]",2020-10-09 16:10:00,"GPS BIIF-7  (PRN 09)    
",1,0,0
"[23878.698181491618, 11463.961592687332, 0]","[-1.6766138085890512, 3.5041015892136045, 0]","[-14739.592587849169, -20589.387739597245, 7774.07004690119]","[1.3401626219497849, -2.093180724087829, -2.9853509699391507]","[-18103.914368317954, 17703.862903102996, 7774.07004690119]",[[ 29505.80211745 -40262.14437284  35293.51433188]],1.5260964993308168,0.8730807868942234,-499890999.61020064,0.36280259467118164,[-15419.49620948   -689.70824418  18410.16798735],"[28580.951012244415, -31140.996796975032, -4656.042097453225]",2020-10-09 16:10:00,"GPS BIIF-8  (PRN 03)    
",1,0,0
"[-1698.481006721244, -26513.74542872157, 0]","[3.8660499641038064, -0.2286727895937823, 0]","[12106.6412234618, -10802.001753412625, 21038.287259063953]","[1.8130692373884747, 3.358509543253338, 0.6571355704567193]","[-12520.089254551038, -10319.950031488996, 21038.287259063953]",[[-1161.12740597  1586.10346984 -1391.88186809]],0.436112066921326,0.2590961975464461,42673841.04823794,0.011867994121340918,[-11715.46711837 -25138.35392641   7351.07606664],"[-1124.913293368621, 1228.7493445683526, 182.37418419495722]",2020-10-09 16:10:00,"GPS BIIF-9  (PRN 26)    
",1,0,0
"[12824.297085286582, 23178.54041858624, 0]","[-3.3897116825918046, 1.8966951673171135, 0]","[8320.390107302148, 15058.182647979076, -20142.73008979013]","[-3.6575113875459335, 0.37963265901233934, -1.25143411452881]","[13615.059384485732, -10517.029721100755, -20142.73008979013]",[[-19473.33138172  26574.4543589  -23295.66636044]],0.35793524538156835,-0.7175581566916382,-606389249.831169,0.2884965680119469,[  8542.46816801  22837.93005253 -21280.68417512],"[-18863.012693000583, 20555.77871813997, 3072.6800224790277]",2020-10-09 16:10:00,"GPS BIIF-10 (PRN 08)    
",0,0,0
"[3944.278835730377, -26240.960739123722, 0]","[3.830970418905894, 0.5990179279986569, 0]","[9205.355843134392, -14258.023621314913, -20398.9103204441]","[2.142728055729548, 3.0308060583019523, -1.12164519557009]","[-15493.843361955112, -6926.083428598163, -20398.9103204441]",[[ 4297.97935799 -5863.14752541  5136.77430205]],-1.3485194078572265,-0.7523040820427764,-70605170.84348309,-0.11606306530858819,[-19660.92874677   4443.59445034 -18864.96442899],"[4162.9073814055255, -4532.005793234977, -679.9837712008645]",2020-10-09 16:10:00,"GPS BIIF-11 (PRN 10)    
",0,0,0
