Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[23059.14845740178, 12721.142926624143, 0]","[-1.8713732680150101, 3.429520799585908, 0]","[-18621.47597510904, 16922.772311430264, -7772.529494573863]","[-0.9154785653184185, -2.3498070635869412, -2.983949829235235]","[20235.311066454462, 14955.660341151763, -7772.529494573863]",[[ 1357.3940333  -2034.73238161  1728.19392191]],0.5028079131218802,0.13654077749760948,79651442.40374991,-0.003979468335548753,[19887.96642538 36162.9618172   5670.44977481],"[1305.6011012952265, -1630.9882536667697, -273.65566906759113]",2020-10-09 16:00:00,"GPS BIIRM-2 (PRN 31)    
",1,0,0
"[25546.015571175285, -6509.894726492629, 0]","[0.9566587069460942, 3.7838125957985116, 0]","[14926.220903764814, -2813.013528836541, 21546.984135403814]","[1.4443712193655927, 3.585110270427952, -0.5414884774763141]","[-5675.477872944403, -14088.792229823024, 21546.984135403814]",[[ -9580.14548566  14350.46451548 -12203.77377052]],0.2291652630484249,0.20682519186619772,275170004.71979684,0.15463547072288342,[ -5393.25167085 -23120.90162638   4981.59499805],"[-9216.754631496886, 11508.88765417251, 1919.476208389646]",2020-10-09 16:00:00,"GPS BIIRM-3 (PRN 12)    
",1,0,0
"[9338.374798665758, -24735.731684962793, 0]","[3.624489344446168, 1.416949207704006, 0]","[10367.395432396326, 16221.3683688866, 18123.07882397582]","[-3.5320471173410866, 0.41897167176055594, 1.5791687574041928]","[13882.790374882916, -13337.308994615269, 18123.07882397582]",[[-20938.91305325  31364.26784378 -26662.90420783]],-1.1486191423503855,0.2103409024773225,-217044049.58553195,0.665493193436396,[13482.38362191 -6056.10424893  3155.53240994],"[-20143.41959501902, 25146.495463309133, 4201.815127446005]",2020-10-09 16:00:00,"GPS BIIRM-4 (PRN 15)    
",0,0,0
"[23444.36685960673, 12413.346050617232, 0]","[-1.8127264282010387, 3.4290685688259686, 0]","[-6436.327170868613, -14438.147180221582, 21303.59350372604]","[3.7592137867496804, -0.4009563383701543, 0.8671989814573045]","[-12902.10542310709, 9133.568694613987, 21303.59350372604]",[[ 16322.00709374 -24450.00873706  20786.33354717]],0.6602661718704098,0.9430540470855829,-382533338.01942647,-0.2271579803553573,[ -9605.289525   -12369.47830647  21581.60025535],"[15702.062940223846, -19604.511724856344, -3274.6442344161806]",2020-10-09 16:00:00,"GPS BIIRM-5 (PRN 29)    
",1,0,0
"[11679.318958270178, 23661.00829295266, 0]","[-3.4741618568258, 1.7706168299907088, 0]","[18671.4922911311, -17328.28801921807, 6881.5415942533655]","[1.0312021556890791, 2.2358184925494893, 3.0236769583646934]","[-20642.78286591483, -14925.47170462086, 6881.5415942533655]",[[-1075.4260706   1612.14956175 -1368.9321891 ]],0.7434384677708602,-0.1745097960472461,53523852.85046124,0.0052412756095342634,[-22144.19374757 -24085.1000413   -5768.25850766],"[-1034.3457000979702, 1292.0557647056962, 217.05835214542515]",2020-10-09 16:00:00,"GPS BIIRM-6 (PRN 07)    
",0,0,0
"[-12087.89849465108, 23730.411779063495, 0]","[-3.451916318180967, -1.735370412407166, 0]","[9850.665928334402, -14224.092412119935, -20245.723228393876]","[2.077112675118947, 3.045688239812101, -1.156124049015822]","[-15874.775190271388, -6881.274361520565, -20245.723228393876]",[[ 3503.52607317 -5245.8347758   4456.85850171]],-1.369160832660428,-0.7420833466048903,-70316191.34599714,-0.09991678193221618,[-20009.70076334   4090.24897551 -18726.63231831],"[3370.104186396405, -4202.999212055295, -704.6078042284378]",2020-10-09 16:00:00,"GPS BIIRM-8 (PRN 05)    
",0,0,0
"[18628.07116486723, -18696.83253043788, 0]","[2.744400836085125, 2.7688618491173016, 0]","[12280.535400225655, -9168.29067688854, 21487.379513157983]","[1.79376404907319, 3.4368111440336873, 0.4111831527439169]","[-11391.2526851855, -10252.24199452837, 21487.379513157983]",[[-2511.574208    3763.56015318 -3201.60941474]],0.4047804752186972,0.28055747507833423,91256137.58130382,0.03547949098509009,[-10537.921206   -24596.04402903   7710.65329572],"[-2416.423470235474, 3019.7302572801145, 502.6823091738162]",2020-10-09 16:00:00,"GPS BIIF-1  (PRN 25)    
",1,0,0
"[-22016.19247372735, 15240.457415375411, 0]","[-2.2050305053804267, -3.1468980840461582, 0]","[9421.551455237246, 12022.000587650518, -21992.956675193258]","[-2.5001452536422875, 2.878861476705036, 0.47598045092764196]","[9949.202157211374, -11589.111544380488, -21992.956675193258]",[[-16764.46626505  25114.21130549 -21351.18784878]],0.21604405995998777,-0.8316625958703194,-426877431.0715292,0.36216690724972017,[  4559.53744457  20775.2847425  -23334.81809411],"[-16127.720023774278, 20137.88820613119, 3363.4791005787965]",2020-10-09 16:00:00,"GPS BIIF-2  (PRN 01)    
",0,0,0
"[-26811.939724032054, -792.534916279778, 0]","[0.11446601084438522, -3.8339850938311457, 0]","[6907.342261903512, -22599.95605719386, -12690.107661027896]","[2.860883831102831, -0.5279456237742524, 2.4998322524981655]","[-23514.023290410056, -2357.986346064222, -12690.107661027896]",[[ 12364.20303605 -18521.6073761   15748.13384403]],1.4287016476273273,-0.3720816759353924,-429708015.78710246,-0.20445057527737182,[-25957.74968534  -3713.48468346 -10233.40693557],"[11894.826110760405, -14852.472417131197, -2479.347095804777]",2020-10-09 16:00:00,"GPS BIIF-3  (PRN 24)    
",0,0,0
"[22037.232631583738, 14495.583045315698, 0]","[-2.1289853945039052, 3.2684911598738666, 0]","[26145.22071126747, 3443.076321010607, -578.1083713195076]","[-0.33766266233937525, 2.1552215096429945, -3.233669346581159]","[-1732.266799279363, -26313.99993025211, -578.1083713195076]",[[-23232.05186074  34796.73848558 -29589.11532172]],0.4337324239308257,-0.9329684003423855,454354135.53833675,-0.12428740861727733,[ -5965.68263377 -12880.7745054  -19152.34153117],"[-22350.558810310038, 27903.198619853396, 4655.94795273137]",2020-10-09 16:00:00,"GPS BIIF-4  (PRN 27)    
",0,0,0
