Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
0.44293198875384737,-0.7556074481199946,547794444.8425329,-0.11768127704467535,[ -7795.67853828 -16433.84447291 -17136.42884284],"[-20936.062389587514, 26134.280762924205, 4365.804458031541]",2020-10-09 16:00:00,"GPS BIIR-2  (PRN 13)    
",0,0,0
0.7958738388113676,-0.6049385185962186,458472651.775053,0.04815967421828413,[-18326.18731769 -17946.19570647 -17734.60253572],"[-11229.283164783603, 14020.905385399576, 2337.6582649592865]",2020-10-09 16:00:00,"GPS BIIR-3  (PRN 11)    
",0,0,0
1.1162608592546035,0.9931074181065118,105835753.87567171,-0.057812763627834086,[13795.24117851  6741.19869278 23554.12034992],"[4414.3562416453, -5514.778637473412, -918.749047800379]",2020-10-09 16:00:00,"GPS BIIR-4  (PRN 20)    
",1,0,0
0.9023250262496798,0.5140787576584522,-761210745.3222495,-0.12948533844723192,[-20035.62967162 -15823.5185992   14417.77673264],"[18641.671008536814, -23270.24031886635, -3885.1146003223366]",2020-10-09 16:00:00,"GPS BIIR-5  (PRN 28)    
",1,0,0
0.11331559238682733,-0.13068352287267598,364655894.92957395,-0.0886806975897595,[ 4032.14500154 35430.88797964 -4686.83150002],"[9011.476276905581, -11252.395043837558, -1876.6701029607473]",2020-10-09 16:00:00,"GPS BIIR-8  (PRN 16)    
",0,0,0
0.8315759235751882,1.1804126512821018,243521799.89989373,-0.08067583227376844,[ 8230.67131376  7503.58185901 27065.79698555],"[13695.086474129737, -17101.83678938875, -2854.278923545176]",2020-10-09 16:00:00,"GPS BIIR-9  (PRN 21)    
",1,0,0
1.0154500193693463,-0.205554460261864,-982430165.6032325,0.15510893590343403,[21911.16152642 13595.55688927 -5376.44566676],"[-23993.488199944484, 29949.363068579525, 5004.306666284644]",2020-10-09 16:00:00,"GPS BIIR-10 (PRN 22)    
",0,0,0
0.18144820105077317,-1.2224497607070737,-245748526.0193697,0.44388437913686557,[  1664.91571672   9074.78766484 -25405.76109341],"[-22033.472088579347, 27508.56685203757, 4592.484629580316]",2020-10-09 16:00:00,"GPS BIIR-11 (PRN 19)    
",0,0,0
0.5776543451010934,1.2400736505647083,-215695327.18730962,-0.22665258926071677,[-4685.85932447 -7188.87366837 24993.87688593],"[16541.23194220728, -20654.162605818008, -3449.422866658136]",2020-10-09 16:00:00,"GPS BIIR-13 (PRN 02)    
",1,0,0
0.13861556129085245,-1.3477712836437126,-149575883.03291965,0.3983489198034264,[   779.21844622   5585.3854279  -24865.65407228],"[-22807.373702536348, 28474.570146331564, 4753.384296514313]",2020-10-09 16:00:00,"GPS BIIRM-1 (PRN 17)    
",0,0,0
0.9368158898771551,0.29750761604220083,-573525733.483118,0.0839030811028377,[24540.93832173 18043.2089633   9339.28087676],"[-11780.185697187095, 14709.029320309417, 2455.072537446257]",2020-10-09 16:00:00,"GPS BIIRM-2 (PRN 31)    
",1,0,0
-0.9865177771848208,0.4661199703447192,-263754022.48577708,0.5039865017543358,[-16360.16608797  10818.99050908   9867.64758744],"[27459.52129198341, -34280.72305085225, -5721.553497998525]",2020-10-09 16:00:00,"GPS BIIRM-3 (PRN 12)    
",0,0,0
-0.4298099642076263,-0.6716176005045459,124202106.2072823,-0.8761397982203909,[  5207.10436189 -11359.52482233  -9933.03795267],"[-25559.284295423, 31906.25857310785, 5330.368092085208]",2020-10-09 16:00:00,"GPS BIIRM-4 (PRN 15)    
",0,0,0
0.4843087416548699,-0.6434385430602649,586385016.1827033,-0.07139457846301892,[ -9785.4072871  -18599.90846567 -15760.63308539],"[-19028.44610523924, 23755.5426729861, 3962.9785788789304]",2020-10-09 16:00:00,"GPS BIIRM-5 (PRN 29)    
",0,0,0
0.33971558342529895,0.0792888214559128,396027575.49647176,-0.025375963298145992,[13436.13443759 38017.80350697  3203.81959214],"[7227.28215204903, -9025.079595159941, -1508.1586127136634]",2020-10-09 16:00:00,"GPS BIIRM-6 (PRN 07)    
",0,0,0
1.135329786180811,0.24764094261650216,-668812152.6612477,0.19602457451043687,[22875.92052126 10643.11478128  6379.06907494],"[-17063.798973970126, 21297.51155254634, 3559.8090945294484]",2020-10-09 16:00:00,"GPS BIIRM-8 (PRN 05)    
",1,0,0
0.9634084084470476,0.45616544029345873,-795058019.4842048,-0.10994286340235102,[-21301.42819191 -14805.29965337  12728.8970558 ],"[19206.246448777878, -23975.095988523713, -4002.579918059653]",2020-10-09 16:00:00,"GPS BIIF-1  (PRN 25)    
",1,0,0
0.941698747037563,-0.2543672533243009,-203677614.97845715,-0.027651018034313433,[-25760.6968286  -18746.92163681  -8283.57657705],"[4002.4958334974963, -4993.7755990111145, -837.7166452240311]",2020-10-09 16:00:00,"GPS BIIF-2  (PRN 01)    
",0,0,0
0.08737539780983763,0.0632761074440436,346223602.73713624,0.19546473564093264,[ -1851.88184245 -21140.58170112   1344.61132459],"[-14762.476926462132, 18433.278182143542, 3078.839913080075]",2020-10-09 16:00:00,"GPS BIIF-3  (PRN 24)    
",0,0,0
0.5835482961799567,0.6864636737847895,-373906594.6909119,-0.18335150444167406,[-11888.32202368 -18005.74309295  17679.83973914],"[11382.6542761088, -14211.715138847274, -2374.985085334147]",2020-10-09 16:00:00,"GPS BIIF-4  (PRN 27)    
",1,0,0
